ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
11-149_red-1,52847,11,149_red,damudamu,damudamu,d a m u d a m u,,120166,51,false,^d a m u d a m u$,default
11-150_yellow-1,53204,11,150_yellow,dromodromoa,dromodromoa,d r o m o d r o m o a,,120166,46,false,^d r o m o d r o m o a$,default
11-151_green-1,53561,11,151_green,karakarawa,karakarawa,k a r a k a r a w a,,120166,"13, 52",false,^k a r a k a r a w a$,default
11-152_small-1,53918,11,152_small,lailai,lailai,l a i l a i,,120166,32,false,^l a i l a i$,default
11-153_big-1,54275,11,153_big,levu,levu,l e v u,(cognacy - John Lynch),120166,10,false,^l e v u$,default
11-154_short-1,54632,11,154_short,lekaleka,lekaleka,l e k a l e k a,,120166,8,false,^l e k a l e k a$,default
11-155_long-1,54989,11,155_long,balavu,balavu,b a l a v u,(cognacy - John Lynch),120166,16,false,^b a l a v u$,default
11-156_thin-1,55346,11,156_thin,mamare,mamare,m a m a r e,,120166,13,false,^m a m a r e$,default
11-157_thick-1,55703,11,157_thick,vāvaku,vāvaku,v ā/a v a k u,,120166,36,false,^v ā v a k u$,default
11-158_narrow-1,56060,11,158_narrow,qiqō,qiqō,q i q ō/o,,120166,27,false,^q i q ō$,default
11-159_wide-1,56417,11,159_wide,raba,raba,r a b a,,120166,48,false,^r a b a$,default
11-160_painfulsick-1,56774,11,160_painfulsick,rarawa,rarawa,r a r a w a,,120166,,false,^r a r a w a$,default
11-161_shyashamed-1,57131,11,161_shyashamed,māduā,māduā,m ā/a d u ā/a,,120166,31,false,^m ā d u ā$,default
11-162_old-1,57488,11,162_old,qase,qase,q a s e,,120166,53,false,^q a s e$,default
11-163_new-1,57845,11,163_new,vou,vou,v o u,,120166,1,false,^v o u$,default
11-164_good-1,58202,11,164_good,vinaka,vinaka,v i n a k a,,120166,21,false,^v i n a k a$,default
11-165_badevil-1,58559,11,165_badevil,cā,cā,c ā/a,,120166,1,false,^c ā$,default
11-166_correcttrue-1,80721,11,166_correcttrue,dina,dina,d i n a,,120166,40,false,^d i n a$,default
11-166_correcttrue-2,80722,11,166_correcttrue,donu,donu,d o n u,,120166,8,false,^d o n u$,default
11-167_night-1,59273,11,167_night,bogi,bogi,b o g i,,120166,1,false,^b o g i$,default
11-168_day-1,59630,11,168_day,siga,siga,s i g a,,120166,23,false,^s i g a$,default
11-169_year-1,59987,11,169_year,yabaki,yabaki,y/j a b a k i,,120166,27,false,^y a b a k i$,default
11-170_when-1,60344,11,170_when,ninaica,ninaica,n i n a i c/ts a,,120166,1,false,^n i n a i c a$,default
11-171_tohide-1,60701,11,171_tohide,vuni-a,vuni-a,v u n i + a,,120166,1,false,^v u n i - a$,default
11-172_toclimb-1,61058,11,172_toclimb,cabe,cabe,c a b e,,120166,2,false,^c a b e$,default
11-173_at-1,61415,11,173_at,e,e,e,,120166,1,false,^e$,default
11-174_ininside-1,61772,11,174_ininside,e loɭma,e loɭma,e + l o ɭ m a,,120166,1,false,^e + l o ɭ m a$,default
11-175_above-1,62129,11,175_above,e cake,e cake,e + c/ts a k e,,120166,25,false,^e + c a k e$,default
11-176_below-1,62486,11,176_below,e rā,e rā,e + r ā/a,,120166,54,false,^e + r ā$,default
11-177_this-1,62843,11,177_this,oqō,oqō,o q ō/o,,120166,17,false,^o q ō$,default
11-178_that-1,81428,11,178_that,oqori,oqori,o q o r i,,120166,,false,^o q o r i$,default
11-178_that-2,81429,11,178_that,koyā,koyā,k o y/j ā/a,,120166,1,false,^k o y ā$,default
11-178_that-3,81430,11,178_that,ayā,ayā,a y/j ā/a,,120166,1,false,^a y ā$,default
11-179_near-1,63557,11,179_near,vōleka,vōleka,v ō/o l e k a,,120166,38,false,^v ō l e k a$,default
11-180_far-1,63914,11,180_far,yawa,yawa,y/j a w a,,120166,4,false,^y a w a$,default
11-181_where-1,64271,11,181_where,e vei,e vei,e + v e i,,120166,3,false,^e + v e i$,default
11-182_i-1,64628,11,182_i,iau,iau,i a u,,120166,"1,21",false,^i a u$,default
11-183_thou-1,64985,11,183_thou,iko,iko,i k o,,120166,1,false,^i k o$,default
11-184_heshe-1,65342,11,184_heshe,koya,koya,k o y/j a,,120166,"1, 42",false,^k o y a$,default
11-185_we-1,111914,11,185_we,e[da],e,e,,120166,1,false,^e$,default
11-185_we-2,111915,11,185_we,keda,keda,k e d a,,120166,1,false,^k e d a$,default
11-185_we-3,111916,11,185_we,keimami,keimami,k e i m a m i,,120166,2,false,^k e i m a m i$,default
11-186_you-1,66056,11,186_you,kemunī,kemunī,k e m u n ī/i,,120166,1?,false,^k e m u n ī$,default
